Topology,FileSize(MB),UploadTime(s),DownloadTime(s),CPU(%),Memory(MB),TotalUpload(MB),TotalDownload(MB),UploadBandwidth(Mbps),DownloadBandwidth(Mbps)
ring,100.00,1.301518506,.500745600,18.02,98.49MiB,100.00,100.00,644.524,1675.223
ring,100.00,1.254848531,.698213870,13.95,97.73MiB,100.00,100.00,668.495,1201.438
ring,100.00,1.365882775,.535965393,16.71,101.4MiB,100.00,100.00,614.152,1565.139
ring,20.00,.317015307,.168933073,2.25,87.26MiB,20.00,20.00,529.224,993.127
ring,20.00,.347017312,.186343969,0.80,107.9MiB,20.00,20.00,483.469,900.335
ring,20.00,.306343745,.162888428,0.76,101.6MiB,20.00,20.00,547.659,1029.982
ring,500.00,9.929482969,2.824639714,51.47,97.5MiB,500.00,500.00,422.409,1484.898
ring,500.00,10.750606749,2.664145881,46.79,109.7MiB,500.00,500.00,390.145,1574.352
ring,500.00,10.863147148,4.653233202,56.74,107MiB,500.00,500.00,386.103,901.374
ring,5.00,.178556345,.110414872,0.88,74.55MiB,5.00,5.00,234.900,379.867
ring,5.00,.171524261,.105508720,0.77,77.37MiB,5.00,5.00,244.531,397.531
ring,5.00,.183177989,.099647601,0.82,80.44MiB,5.00,5.00,228.974,420.913
grid,100.00,.867996890,.528713598,3.41,102MiB,100.00,100.00,966.432,1586.607
grid,100.00,.802313935,.585854093,2.85,107.5MiB,100.00,100.00,1045.551,1431.859
grid,100.00,1.028184734,.662927450,12.16,101.2MiB,100.00,100.00,815.865,1265.388
grid,20.00,1.020549147,.167049999,0.80,95.25MiB,20.00,20.00,164.394,1004.323
grid,20.00,.384309864,.180760901,1.79,90.04MiB,20.00,20.00,436.554,928.144
grid,20.00,.447633246,.179576614,0.99,102.6MiB,20.00,20.00,374.798,934.265
grid,500.00,10.529825818,2.534771855,42.42,94.8MiB,500.00,500.00,398.326,1654.706
grid,500.00,10.324479764,3.233497765,63.69,93.25MiB,500.00,500.00,406.248,1297.141
grid,500.00,10.516355210,2.590206088,27.30,82.31MiB,500.00,500.00,398.836,1619.293
grid,5.00,1.881375130,.094281083,1.82,73.5MiB,5.00,5.00,22.293,444.872
grid,5.00,.183061988,.118162345,0.82,73.57MiB,5.00,5.00,229.119,354.961
grid,5.00,.190093054,.103984519,2.04,57.89MiB,5.00,5.00,220.644,403.358
barabasi,100.00,1.306895349,.510808898,13.45,104.4MiB,100.00,100.00,641.872,1642.220
barabasi,100.00,1.360309602,.564805343,14.05,108.2MiB,100.00,100.00,616.669,1485.221
barabasi,100.00,1.549325648,.496585696,16.11,65.32MiB,100.00,100.00,541.436,1689.256
barabasi,20.00,.253921238,.147285664,0.92,85.91MiB,20.00,20.00,660.725,1139.093
barabasi,20.00,1.160692622,.143033335,0.88,101.7MiB,20.00,20.00,144.544,1172.958
barabasi,20.00,.557415089,.157776885,0.93,70.02MiB,20.00,20.00,300.982,1063.350
barabasi,500.00,9.152694678,2.623325206,63.24,99.47MiB,500.00,500.00,458.258,1598.850
barabasi,500.00,11.931642451,2.639058227,46.24,95.37MiB,500.00,500.00,351.527,1589.318
barabasi,500.00,10.800640757,2.745778067,9.60,104.6MiB,500.00,500.00,388.338,1527.546
barabasi,5.00,1.653193665,.108994070,2.17,65.77MiB,5.00,5.00,25.370,384.819
barabasi,5.00,.175356207,.100976656,0.83,66.66MiB,5.00,5.00,239.187,415.373
barabasi,5.00,.203841580,.113678844,0.79,60.53MiB,5.00,5.00,205.762,368.960
complete,100.00,1.925405683,.506829956,10.01,100.6MiB,100.00,100.00,435.680,1655.112
complete,100.00,1.713208133,.414546640,8.70,94.93MiB,100.00,100.00,489.643,2023.561
complete,100.00,2.050571322,.496506518,1.39,96.52MiB,100.00,100.00,409.086,1689.526
complete,20.00,.900846462,.172360866,3.19,89.79MiB,20.00,20.00,186.238,973.377
complete,20.00,.735746562,.163397257,3.81,94.1MiB,20.00,20.00,228.029,1026.774
complete,20.00,.727301074,.172797922,1.16,99.81MiB,20.00,20.00,230.677,970.915
complete,500.00,9.327525442,2.555945455,67.53,85.27MiB,500.00,500.00,449.669,1640.999
complete,500.00,10.390408088,2.909857863,37.41,101.4MiB,500.00,500.00,403.670,1441.411
complete,500.00,10.545121779,2.885094569,52.22,104MiB,500.00,500.00,397.748,1453.783
complete,5.00,1.534126800,.111177159,0.90,56.55MiB,5.00,5.00,27.340,377.263
complete,5.00,.216807453,.125791160,0.88,55.38MiB,5.00,5.00,193.457,333.433
complete,5.00,.175711179,.107333046,0.85,64.79MiB,5.00,5.00,238.704,390.774
